ST1 1AF
ST10 1AA
ST11 9AA
ST12 9AA
ST13 5AB
ST14 5AA
ST15 0AA
ST16 1AA
ST17 0AA
ST18 0AA
ST19 5AA
ST2 0AA
ST20 0AA
ST21 6AA
ST3 1AA
ST4 1AA
ST5 0AA
ST55 9DZ
ST6 1AA
ST7 1AB
ST8 6AA
ST9 0AA
